;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
1245;FEMENINO;SERVICIO;VARIEDADES;PICACHO;1;6.0;4500000;MICROEMPRESARIAL;2019-04-04
1246;MASCULINO;SERVICIO;DISTRIBUIDORA DE;BARRIO CAICEDO;1;9.0;6000000;MICROEMPRESARIAL;2016-11-22
1247;FEMENINO;COMERCIO;COMIDAS RAPIDAS;FLORENCIA;3;5.0;7000000;MICROEMPRESARIAL;2017-05-09
1248;FEMENINO;COMERCIO;VARIEDADES;CAMPO ALEGRE;3;12.0;4000000;MICROEMPRESARIAL;2019-03-11
1249;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ROBLEDO;3;7.0;7000000;MICROEMPRESARIAL;2017-06-29
1250;MASCULINO;SERVICIO;BARBERIA;CASTILLA;3;5.0;8000000;MICROEMPRESARIAL;2019-05-07
1251;FEMENINO;COMERCIO;TIENDA;NUEVOS CONQUISTADORES;1;13.0;7000000;MICROEMPRESARIAL;2018-05-15
1252;MASCULINO;SERVICIO;TALLER DE MECANICA;GUAYABAL;3;15.0;3000000;MICROEMPRESARIAL;2018-01-24
1253;MASCULINO;COMERCIO;VARIEDADES;FLORENCIA;3;5.0;7800000;MICROEMPRESARIAL;2018-02-05
1254;MASCULINO;COMERCIO;GRANERO;LLANADITAS;1;8.0;4400000;MICROEMPRESARIAL;2017-04-26
1255;MASCULINO;COMERCIO;TIENDA DE HELADOS;FLORENCIA;3;5.0;6890000;MICROEMPRESARIAL;2016-03-15
1256;MASCULINO;INDUSTRIA;FABRICA DE;SANTANDER;2;6.0;7370000;MICROEMPRESARIAL;2017-08-17
1257;MASCULINO;SERVICIO;MANTENIMIENTO EN;CASTILLA;3;5.0;8200000;MICROEMPRESARIAL;2019-01-23
1258;FEMENINO;COMERCIO;FERRETERIA;BELENCITO;2;13.0;7800000;MICROEMPRESARIAL;2018-05-22
1259;FEMENINO;COMERCIO;CAFETERIA;BARRIO CAICEDO;1;9.0;7360000;MICROEMPRESARIAL;2018-02-02
1260;FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;2;7.0;4400000;MICROEMPRESARIAL;2017-11-20
1261;FEMENINO;COMERCIO;TIENDA;VILLA HERMOSA;2;8.0;7800000;MICROEMPRESARIAL;2018-04-09
1262;MASCULINO;COMERCIO;FABRICA DE MUEBLES;SANTANDER;2;6.0;5000000;MICROEMPRESARIAL;2017-05-12
1263;FEMENINO;SERVICIO;FABRICA DE;SAN JAVIER NO.1;1;13.0;3000000;MICROEMPRESARIAL;2018-02-22
1264;MASCULINO;COMERCIO;TIENDA;ANDALUCIA;2;2.0;7377000;MICROEMPRESARIAL;2017-03-17
1265;MASCULINO;COMERCIO;VARIEDADES;LA AMERICA;3;12.0;1000000;MICROEMPRESARIAL;2018-02-15
1266;MASCULINO;COMERCIO;VARIEDADES;LA FRONTERA;3;2.0;7800000;MICROEMPRESARIAL;2018-05-04
1267;MASCULINO;SERVICIO;PRODUCTOS DE BELLEZA;POPULAR;2;1.0;7800000;MICROEMPRESARIAL;2018-11-02
1268;MASCULINO;INDUSTRIA;FABRICA DE;SANTO DOMINGO SAVIO ;1;1.0;7377000;MICROEMPRESARIAL;2017-05-12
1269;FEMENINO;COMERCIO;VARIEDADES;BELENCITO;1;13.0;6000000;MICROEMPRESARIAL;2016-03-04
1270;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;POPULAR;2;1.0;16720000;MICROEMPRESARIAL;2018-04-03
1271;FEMENINO;INDUSTRIA;VENTA DE CALZADO;ARANJUEZ;2;4.0;7000000;MICROEMPRESARIAL;2017-04-03
1272;FEMENINO;COMERCIO;VARIEDADES;CENTRO ADMTIVO;3;10.0;3500000;MICROEMPRESARIAL;2018-01-25
1273;FEMENINO;COMERCIO;COMIDAS RAPIDAS;BARRIO CAICEDO;1;9.0;1200000;MICROEMPRESARIAL;2018-07-27
1274;MASCULINO;INDUSTRIA;VENTA DE REPUESTOS;CABECERA SAN ANTONIO ;3;80.0;700000;MICROEMPRESARIAL;2017-07-04
1275;MASCULINO;COMERCIO;VARIEDADES;TRICENTENARIO;2;5.0;2000000;MICROEMPRESARIAL;2018-07-03
1276;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;SANTA CRUZ;2;80.0;6000000;MICROEMPRESARIAL;2017-06-06
1277;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;SANTO DOMINGO SAVIO ;1;1.0;6000000;MICROEMPRESARIAL;2017-08-31
1278;MASCULINO;INDUSTRIA;FABRICA DE;CABECERA SAN CRISTOBAL;2;60.0;3500000;MICROEMPRESARIAL;2017-02-23
1279;FEMENINO;COMERCIO;FABRICA DE PRODUCTOS;PEDREGAL;3;6.0;6890000;MICROEMPRESARIAL;2016-08-03
1280;FEMENINO;INDUSTRIA;FABRICA DE;PAJARITO;2;7.0;2000000;MICROEMPRESARIAL;2018-11-15
1281;MASCULINO;COMERCIO;VARIEDADES;LA MILAGROSA;2;9.0;7300000;MICROEMPRESARIAL;2018-06-12
1282;FEMENINO;SERVICIO;PELUQUERIA;SANTA INES;1;3.0;4000000;MICROEMPRESARIAL;2018-04-27
1283;FEMENINO;COMERCIO;TIENDA;CABECERA SAN ANTONIO ;2;80.0;2000000;MICROEMPRESARIAL;2017-06-14
1284;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;LA FRANCIA;2;2.0;7800000;MICROEMPRESARIAL;2018-01-22
1285;FEMENINO;COMERCIO;FERRETERIA;SANTA CRUZ;2;2.0;5000000;MICROEMPRESARIAL;2017-08-04
1287;FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 2;1;3.0;6890000;MICROEMPRESARIAL;2016-09-13
1288;MASCULINO;SERVICIO;BARBERIA;MANRIQUE CENTRAL NO. 1;3;4.0;7800000;MICROEMPRESARIAL;2018-05-11
1289;FEMENINO;INDUSTRIA;FABRICA DE;ROBLEDO;2;7.0;6000000;MICROEMPRESARIAL;2016-09-09
1290;FEMENINO;COMERCIO;TIENDA;ARANJUEZ;2;4.0;7377000;MICROEMPRESARIAL;2017-10-31
1291;MASCULINO;SERVICIO;FABRICA DE JUEGOS;POPULAR;1;1.0;6890000;MICROEMPRESARIAL;2016-11-17
1292;FEMENINO;COMERCIO;COMIDAS RAPIDAS;MANRIQUE ORIENTAL;3;3.0;6000000;MICROEMPRESARIAL;2017-03-06
1293;FEMENINO;COMERCIO;VARIEDADES;MANRIQUE CENTRAL NO. 1;2;4.0;6900000;MICROEMPRESARIAL;2016-09-09
1294;FEMENINO;INDUSTRIA;FABRICA DE;SANTANDER;2;6.0;7300000;MICROEMPRESARIAL;2017-07-04
1295;FEMENINO;SERVICIO;RESTAURANTE;POPULAR;2;1.0;6890000;MICROEMPRESARIAL;2016-09-05
1296;FEMENINO;COMERCIO;MARROQUINERIA;FRANCISCO ANTONIO ZEA;3;5.0;6000000;MICROEMPRESARIAL;2017-03-17
1297;FEMENINO;COMERCIO;COMIDAS RAPIDAS;MANRIQUE CENTRAL NO. 1;3;4.0;7370000;MICROEMPRESARIAL;2017-11-23
1298;FEMENINO;COMERCIO;VARIEDADES;CASTILLA;3;5.0;3000000;MICROEMPRESARIAL;2017-06-02
1299;FEMENINO;COMERCIO;COMIDAS RAPIDAS;DOCE DE OCTUBRE NO.1;2;6.0;2000000;MICROEMPRESARIAL;2018-01-29
1300;FEMENINO;COMERCIO;TIENDA;POPULAR;2;1.0;6890000;MICROEMPRESARIAL;2016-11-03
1301;MASCULINO;INDUSTRIA;FABRICA DE CALZADO;CASTILLA;3;5.0;7800000;MICROEMPRESARIAL;2018-08-10
1302;FEMENINO;SERVICIO;PELUQUERIA;SANTA CRUZ;2;2.0;7800000;MICROEMPRESARIAL;2018-11-22
1303;MASCULINO;COMERCIO;FABRICA DE ALIMENTOS;MANRIQUE ORIENTAL;2;3.0;8000000;MICROEMPRESARIAL;2019-02-13
1304;FEMENINO;SERVICIO;VARIEDADES;BUENOS AIRES;2;9.0;7000000;MICROEMPRESARIAL;2018-11-23
1305;FEMENINO;SERVICIO;TIENDA;LA FRANCIA;2;2.0;5000000;MICROEMPRESARIAL;2017-09-04
1306;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;OLAYA HERRERA;1;7.0;6000000;MICROEMPRESARIAL;2016-03-08
1307;FEMENINO;COMERCIO;LICORERA;ROBLEDO;2;7.0;7000000;MICROEMPRESARIAL;2017-11-21
1308;FEMENINO;SERVICIO;PELUQUERIA;SANTA FE;3;15.0;5000000;MICROEMPRESARIAL;2018-03-22
1309;MASCULINO;COMERCIO;FERRETERIA;CABECERA SAN ANTONIO ;2;80.0;7370000;MICROEMPRESARIAL;2017-05-30
1310;FEMENINO;COMERCIO;PRODUCTOS DE BELLEZA;ROBLEDO;2;7.0;6000000;MICROEMPRESARIAL;2018-06-05
1311;FEMENINO;COMERCIO;VARIEDADES;BUENOS AIRES;3;9.0;3000000;MICROEMPRESARIAL;2018-11-06
1312;MASCULINO;COMERCIO;FABRICA DE HELADOS;ALTAVISTA;2;16.0;5000000;MICROEMPRESARIAL;2017-09-28
1313;FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 2;2;3.0;6000000;MICROEMPRESARIAL;2016-05-11
1314;FEMENINO;SERVICIO;PELUQUERIA;CABECERA SAN ANTONIO ;3;80.0;3500000;MICROEMPRESARIAL;2016-06-01
1315;MASCULINO;INDUSTRIA;DEPOSITO DE;VILLA HERMOSA;2;8.0;7500000;MICROEMPRESARIAL;2018-05-10
1316;MASCULINO;COMERCIO;VARIEDADES;ENCISO;1;8.0;3000000;MICROEMPRESARIAL;2018-06-14
1317;FEMENINO;SERVICIO;PELUQUERIA;SAN JAVIER NO.1;2;13.0;5000000;MICROEMPRESARIAL;2018-11-09
1318;FEMENINO;INDUSTRIA;FABRICA DE;SANTA CRUZ;2;2.0;6000000;MICROEMPRESARIAL;2016-09-14
1319;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;LA MILAGROSA;3;9.0;5000000;MICROEMPRESARIAL;2018-05-08
1320;FEMENINO;COMERCIO;COMIDAS RAPIDAS;MORAVIA;2;4.0;2000000;MICROEMPRESARIAL;2018-06-12
1321;MASCULINO;COMERCIO;LAVADERO DE;PALERMO;2;4.0;5000000;MICROEMPRESARIAL;2018-04-23
1322;FEMENINO;SERVICIO;PUBLICIDAD Y;MANRIQUE CENTRAL NO. 2;2;3.0;6890000;MICROEMPRESARIAL;2016-11-10
1323;MASCULINO;COMERCIO;MONTALLANTAS;ARANJUEZ;2;4.0;7377000;MICROEMPRESARIAL;2017-08-18
1324;FEMENINO;COMERCIO;TIENDA;CABECERA SAN ANTONIO ;2;80.0;5000000;MICROEMPRESARIAL;2016-07-12
